Unnamed: 0,id,role,type,job_desc,year,qualification,experience,tech_skills,soft_skills
10,11,AI Engineer,Senior,"4–6 years of experience in Data Science / Machine Learning / AI Engineering
Strong programming skills in Python
Hands-on experience with ML libraries such as Scikit-learn, Pandas, NumPy
Experience in building ML models (classification, regression, NLP, etc.)
Practical exposure to Generative AI / LLMs
Prompt engineering
RAG (Retrieval-Augmented Generation)
Chatbot or document-based AI solutions
Familiarity with frameworks like LangChain, LlamaIndex, or similar
Experience in building and consuming APIs
Strong problem-solving and analytical skills
Experience with cloud platforms (AWS / Azure / GCP)
Exposure to model deployment tools (Docker, MLflow, etc.)
Understanding of vector databases (FAISS, Pinecone, etc.)
Experience working in agile development environments",2026,Not Specified,5-10,"Python, Scikit-Learn, Pandas, NumPy, ML, LLMs, Prompt Engineering, RAG, LangChain, APIs, AWS/Azure, Docker, MLflow, VectorDB","Communication, Problem Solving"
11,12,AI Engineer,Senior,"Bachelor's or Master's degree in Computer Science, Information Technology, Artificial Intelligence, Data Science, or related fields.
2–5 years of hands-on experience in AI/ML or Generative AI development.
Experience building and deploying production-grade AI solutions.
Strong programming skills in Python.
Understanding of Artificial Intelligence and Machine Learning concepts.
Familiarity with APIs and software development fundamentals.
Strong analytical and problem-solving abilities.
Excellent communication and collaboration skills.
Experience with Generative AI platforms such as OpenAI, Gemini, Claude, or Hugging Face.
Knowledge of LangChain, LangGraph, CrewAI, AutoGen, or AI Agent frameworks.
Understanding of RAG architectures and Vector Databases (FAISS, ChromaDB, Pinecone, Weaviate, etc.).
Knowledge of SQL and database management.
Familiarity with cloud platforms such as AWS, Azure, or GCP.
Experience with Git, Docker, and CI/CD pipelines.
",2026,Bachelors/Masters,1-5,"Python, ML, APIs, GenAI, LangChain, LangGraph, CrewAI, AutoGen, RAG, VectorDB, SQL, Docker, Git, CI/CD, AWS/Azure","Communication, Problem Solving, Analytical Skills"
12,13,AI Developer,Internship,"Basic to intermediate Python programming skills.
Understanding of AI/ML, Generative AI, and Prompt Engineering.
Familiarity with APIs, databases, and version control (Git).
Strong analytical, problem-solving, and communication skills.
Exposure to LangChain, RAG, Vector Databases, AI Chatbots, or related projects.
Knowledge of AWS, Azure, or Google Cloud is a plus\",2026,Bachelors,0,"Python, ML, GenAI, APIs, Git, Prompt Engineering, LangChain, RAG, VectorDB, AWS/Azure","Communication, Problem Solving, Analytical Skills"
13,14,AI Engineer,Junior,"Basic understanding of AI, Machine Learning, or Automation concepts
Familiarity with Python / APIs / No-code & Low-code tools (preferred but not mandatory
Good problem-solving and logical thinking skills
Willingness to learn and adapt quickly
Good communication skills",2026,Bachelors,0-1,"Python, ML, APIs","Communication, Problem Solving"
14,15,AI Engineer,Senior,"4–6 years of experience in Data Science / Machine Learning / AI Engineering
Strong programming skills in Python
Hands-on experience with ML libraries such as Scikit-learn, Pandas, NumPy
Experience in building ML models (classification, regression, NLP, etc.)
Practical exposure to Generative AI / LLMs
Prompt engineering
RAG (Retrieval-Augmented Generation)
Chatbot or document-based AI solutions
Familiarity with frameworks like LangChain, LlamaIndex, or similar
Experience in building and consuming APIs
Strong problem-solving and analytical skills
Experience with cloud platforms (AWS / Azure / GCP)
Exposure to model deployment tools (Docker, MLflow, etc.)
Understanding of vector databases (FAISS, Pinecone, etc.)
Experience working in agile development environments
",2026,Not Specified,5-10,"Python, ML, Pandas, NumPy, Scikit-Learn, GenAI, LLMs, Prompt Engineering, RAG,  LangChain, APIs, AWS/Azure, Docker, MLflow, VectorDB","Communication, Problem Solving"
15,16,AI Engineer,Junior,"Docker / Containerization
AWS / Azure / GCP exposure
AI Agent workflow understanding
ML fundamentals
Enterprise AI integration experience",2026,Bachelors,0-1,"Python, ML, Docker, AWS/Azure, ","Communication, Problem Solving"
16,17,AI Engineer,Junior,"1+ years of experience in AI, LLMs, automation, or related systems
Strong Python programming skills with experience in APIs and backend integration
Hands-on experience in prompt engineering, LLM orchestration, and evaluation
Familiarity with LangChain, embeddings, vector databases, and RAG systems
Strong problem-solving skills with ability to build and ship MVPs quickly
Passion for AI, automation, and real-world product development
Strong ownership mindset
Ability to work in fast-paced startup environments
Good understanding of AI product thinking and user experience
Strong communication and collaboration skills
",2026,Bachelors,1-5,"Python, APIs, LLMs, Prompt Engineering, LangChain, LlamaIndex, LangGraph, CrewAI, AutoGen,  Anthropic /OpenAI SDKs, MCP, VectorDB, n8n, RAG, Agents","Communication, Problem Solving, Ownership"
17,18,AI Developer,Junior,"Strong Python programming
Experience with FastAPI, Flask, or similar backend frameworks
Understanding of REST APIs
Familiarity with cloud platforms (AWS) - Exposure to services like S3, EC2, Lambda, or API Gateway is a plus
Experience working with AI/LLM APIs
Knowledge of data processing (CSV, JSON, Pandas)
Familiarity with Git and version control
Basic understanding of Docker and cloud deployment
Experience with RAG pipelines
Experience with vector databases (Pinecone, Weaviate, FAISS, etc.)
Experience parsing PDF documents
Knowledge of LangChain or LlamaIndex
Basic frontend knowledge (React / simple JS)
",2026,Bachelors,0-1,"Python, React, Javascript, APIs, AWS/Azure, LLMs, Git, Docker, RAG, VectorDB, LangChain","Communication, Problem Solving"
18,19,AI Engineer,Junior,"Degree in Computer Science, AI, or a related field (or equivalent practical experience).Strong command of Python, JavaScript, or other common programming languages.Hands-on experience with prompt engineering, LLMs, and AI-assisted coding tools.Familiarity with cloud-based IDEs, version control (e.g., Git), and API integrations.Excellent communication skills for client-facing interactions (live and written).Comfortable working independently in a remote, fast-paced environment.",2026,Bachelors,0-1,"Python, Javascript,  LLMs, Prompt Engineering, APIs","Communication, Problem Solving"
19,20,AI Engineer,Senior,"Proven track record with at least 5 years of experience in a technical role focused on AI/ML.
Expertise in AI/ML frameworks, NLP, and Transformer technologies.
Strong experience with AWS cloud services, particularly for data processing and machine learning.
Proficiency in MLOps practices and familiarity with LLMOps.
Experience with FastAPI or similar frameworks for API development.
Knowledge of container orchestration with AWS EKS and Bedrock.
Team handling experience and architecture design experience.
Proficiency in creating and delivering Powerpoint presentations.
Knowledge of Responsible AI practices and Nvidia MLOps platform.
Experience with fine-tuning open-source AI/ML models.
Familiarity with DevOps practices, including continuous integration, deployment, and monitoring of AI models",2026,Not Specified,1-5,"Python, ML, NLP, MLOps, Feature Engineering, AWS/Azure, APIs","Communication, Problem Solving"
20,21,AI Engineer,Senior,"5+ years overall experience in software development, data science, or machine learning.
1+ year of hands-on experience developing AI applications with LLMs and systems such as retrieval-based methods, fine-tuning, or agent-based architectures.
Strong programming skills in Python and basics in SQL.
Expertise with LLM/SLM APIs, embeddings, and RAG systems.
Experience deploying on Google Cloud Platform (GCP) with Vertex AI, and IBM WatsonX.
Familiarity with agentic AI protocols and exposure to Agent Development Kits (ADKs).
Experience implementing Model Context Protocol (MCP) for agent coordination.
Prior exposure to LangGraph, AutoGen, or related orchestration frameworks.
1+ year of experience with frameworks like LangChain, LlamaIndex, OpenAI, or similar tools.
Good communication, stakeholder management and good aptitude, attitude to be flexible.
Experience in the functional side of Identity and Access management especially on identity governance, access management, privileged access, non-human identities, and worked on any IAM tools like SailPoint, Saviynt, CyberArk and SIEM/SOAR tools like Splunk etc.
Experience in strategy and roadmap work for Identity and Access management, especially in identifying use cases for automation, agentic AI workflows and roadmap for agentic AI lifecycle
2 or more years’ experience with developing Robotic Process Automation and/or automation efforts
2 or more years using Azure OR AWS cloud services
2 or more years skilled at data visualization (Tableau, PowerBI, etc.)
2 or more years with modern data engineering with APIs
2 or more years applying agile SDLC
Experience in enterprise-scale deployments of AI-driven platforms.
Contributions to open-source AI/ML projects are a plus.
",2026,Not Specified,5-10,"Python, APIs, LLMs, Prompt Engineering, LangChain, LlamaIndex, LangGraph, CrewAI, AutoGen,  Anthropic /OpenAI SDKs, MCP, VectorDB, n8n, RAG, Agents, AWS/Azure, PowerBI","Communication, Problem Solving"
21,22,AI Engineer,Junior,"Strong programming skills in Python.
Experience with LLM architectures, prompt engineering, and RAG systems.
Familiarity with deep learning frameworks such as PyTorch or TensorFlow.
Experience with vector databases like Pinecone, Weaviate, or Milvus.
Azure expertise as must have, while AWS & GCP",2026,Bachelors,0-1,"Python, LLMs, Prompt Engineering, RAG, TensorFlow/PyTorch, VectorDB, AWS/Azure","Communication, Problem Solving"
22,24,AI Developer,Senior,"Core Software Engineering (Required)
Strong hands-on development in Python / C# / TypeScript/JavaScript (or similar).
Experience building API-driven services and integrating distributed systems. 
Strong understanding of non-functional requirements: reliability, availability, scalability, performance, and cost.
Azure & Platform Engineering
Hands on experience with Azure AI Foundry for delivering enterprise GenAI solutions in an enterprise context.
Experience building serverless and asynchronous workloads using Azure Functions (including Durable Functions or equivalent).
Experience using queues and event driven messaging for decoupled, reliable workflows.
Experience working with ADLS for data ingestion, storage, and processing.
Experience using Azure Cognitive Services / Azure AI Services as part of AI solutions.
Azure Functions + Queues/Eventing (Required)
Experience with Azure Functions (including Durable Functions or equivalent orchestration patterns).
Experience implementing asynchronous patterns with queues/eventing for scale and reliability.
Vector Databases (Required)
Hands-on experience with vector databases / vector search, including enterprise deployment patterns
LLM-as-a-Judge Evaluation (Required)
Experience implementing evaluation approaches that include LLM-as-a-Judge (or equivalent automated evaluation patterns) for quality monitoring and continuous improvement.
Agent 365 (A365) + Governance Alignment (Required)
Familiarity/experience working in environments using Agent 365 (A365)-style lifecycle management concepts (e.g., agent registry, governance, monitoring/observability, and access controls)
Runtime Security / Runtime Protection (Required)
Experience delivering solutions with runtime protection expectations (runtime security controls, access controls, and monitoring alignment as defined by enterprise governance).
Experience integrating AI services into enterprise automation platforms (e.g., Power Platform, ServiceNow).
Familiarity with Azure AI services and data platforms.
",2026,Not Specified,5-10,"Python, Javascript, AWS/Azure, VectorDB, LLMs, Agent 365","Communication, Problem Solving"
23,25,AI Engineer,Senior,"15+ years of overall IT experience
Strong experience in AI Architecture
Hands-on experience in Agentic AI
Strong experience in AI Automation
Strong programming skills in Python
Good experience in REST APIs
Strong knowledge of Azure DevOps
Hands-on experience in CI/CD
Experience with GitHub
Strong solution design and stakeholder management skills
Experience in enterprise AI transformation initiatives
Exposure to cloud-based AI services
Experience in API integration architecture
Understanding of secure AI solution deployment
Experience mentoring teams and driving architecture governance
",2026,Not Specified,15+,"Python, ML, APIs, AWS/Azure, CI/CD, Github, Git, ","Communication, Problem Solving"
24,26,AI Engineer,Junior,"Strong hands-on experience in Python programming
Ability to code independently without relying on AI coding tools
Basic understanding of AI/ML concepts and frameworks
Knowledge of APIs, data structures, and problem-solving techniques
Good communication and collaboration skills
Self-motivated with a strong learning attitude
Familiarity with Generative AI, LLMs, or automation tools
Understanding of libraries such as Pandas, NumPy, Scikit-learn, or FastAPI
Exposure to Git/GitHub and cloud platforms is a plus
Bachelor’s degree in Computer Science, IT, or related field
Candidates with internship/project experience in AI/ML are encouraged to apply 
",2026,Bachelors,0-1,"Python, APIs, GenAI, LLMs, Pandas, NumPy, Scikit-Learn, Git, Github","Communication, Problem Solving"
25,27,AI Engineer,Internship,"Python Skills: You should be very comfortable with Python and async programming.
LLM Experience: You have used APIs from OpenAI, Anthropic, or Gemini to build more than just a simple chatbot.
Agent Knowledge: You understand how to give an AI tools (functions) to call so it can perform real tasks.
Vector Databases: Basic experience with Pinecone, FAISS, or similar tools for searching through product data.
You have used LangGraph, CrewAI, or AutoGen before.
You understand RAG (Retrieval-Augmented Generation).
You can build simple frontends in React or Next.js to show off your AI tools. 
",2026,Bachelors,0,"Python, Javascript, React, LLMs, VectorDB, LangGraph, CrewAI, AutoGen, RAG","Communication, Problem Solving"
26,28,AI Engineer,Internship,"Exposure to Full-Stack Development (frontend and backend technologies).
Experience working with or building projects using AI technologies and Large Language Models (LLMs).
Familiarity with modern web development frameworks and APIs.
Understanding of software development best practices.
Experience with Git and collaborative development workflows
Strong interest in AI and emerging technologies.
Positive attitude and a proactive, can-do mindset.
Strong problem-solving and analytical skills.
Ability to work independently in a remote environment.
Excellent communication and collaboration skills.
Eagerness to learn, experiment, and take ownership of projects.
Experience with OpenAI, Anthropic, or other LLM platforms.
Knowledge of vector databases, RAG systems, or AI agents.
Experience deploying applications to cloud platforms.
Previous internship, academic, or personal projects involving AI products. ",2026,Bachelors,0,"Python, Git, Github, Full Stack, LLMs, APIs, GenAI, VectorDB, RAG, AWS/Azure","Communication, Problem Solving, Analytical Skills"
27,29,AI Engineer,Internship,"Python, TensorFlow, PyTorch, Scikit-learn, NumPy, pandas, Git, C#, .NET, R, Deep Learning, LLMs ",2026,Bachelors,0,"Python, TensorFlow/PyTorch, Scikit-Learn, NumPy, Pandas, Git, C#, .NET, R, ML, LLMs ","Communication, Problem Solving"
28,30,AI Engineer,Internship,"Recently completed a degree in Computer Science, AI, ML, Data Science, or related fields
Strong understanding of Generative AI and LLM fundamentals
Proficiency in Python
Experience or familiarity with:
RAG architectures
Prompt engineering
Vector databases (FAISS, Pinecone, Chroma, etc.)
Good problem-solving and analytical skills
Tools & Technologies (Exposure to Any Is a Plus)
LangGraph for agent workflows
Strands or similar agent frameworks
A2A (Agent-to-Agent) protocols
LLM frameworks such as LangChain
OpenAI / open-source LLMs
REST APIs and JSON-based integrations
Experience building AI agents or copilots
Knowledge of NLP, embeddings, and semantic search
Familiarity with cloud platforms or deployment workflows
Prior hands-on projects in Generative AI or agent-based systems
",2026,Bachelors,0,"Python, GenAI, LLMs, RAG, Prompt Engineering, VectorDB, LangChain, LangGraph, APIs, NLP","Communication, Problem Solving, Analytical Skills"
29,31,AI Developer,Senior,"trong hands-on experience in Python backend development.- Proven expertise with Agentic AI frameworks such as :i. LangGraphii. CrewAIiii. AutoGeniv. LangChain- Experience working with Model Context Protocol (MCP) tools and integrations.- Strong proficiency in FastAPI and modern API development.- Experience with cloud platforms :i. AWS (Bedrock preferred)ii. Microsoft Azure (AI Foundry preferred)- Hands-on experience with :i. Dockerii. Kubernetesiii. CI/CD pipelinesiv. Cloud security and governancePreferred Skills :- Experience with Retrieval-Augmented Generation (RAG) architectures.- Knowledge of vector databases and semantic search solutions.- Familiarity with observability, monitoring, and AI model evaluation frameworks.- Understanding of enterprise AI governance, security, and compliance requirements.Education :- Bachelor's degree in Computer Science, Information Technology, Engineering, or a related field.- Any Graduate with relevant experience is welcome to apply. ",2026,Bachelors,5-10,"Python, LangChain, LangGraph, CrewAI, AutoGen, MCP, APIs, AWS/Azure, Docker, Kubernetes, CI/CD, RAG, VectorDB","Communication, Problem Solving"
30,32,AI Developer,Senior,"To qualify for the role you must have B.E/ B.Tech/ MCA/ MS /M.Tech or equivalent degree in Computer Science discipline. Minimum 4 – 8 years of experience in IT industry with at least 2+ years of experience in AI. Proven track record of working in AI projects from inception to successful deployment. Strong programming skills, preferably in Python, and experience with machine learning frameworks. Exposure / Experience in cloud services like Azure for deploying machine learning models and leveraging cloud-based machine learning services. Familiarity with relational databases like SQL Server / My SQL / PostgreSQL. Familiarity with Docker, Kubernetes, or similar tools for containerization and orchestration of machine learning applications. Knowledge / Experience in AI frameworks and technologies, such as GANs, transformers, and reinforcement learning. Hands-on experience in developing Generative AI solutions using Large Language models preferably Azure OpenAI. Excellent problem-solving skills and the ability to work in a fast-paced, dynamic environment. Strong communication skills to effectively collaborate with team members and stakeholders. ",2026,Masters,5-10,"Python,  ML, AWS/Azure, SQL, Docker, Kubernetes, LLMs","Communication, Problem Solving"
31,33,AI Developer,Senior,"• 3–6 years of software development experience, with solid hands-on experience in AI/ML or LLM application development.
• Strong proficiency in Python.
• Practical experience building APIs and backend services using FastAPI or a similar backend framework.
• Experience working with PostgreSQLor similar SQL/relational databases.
• Hands-on experience integrating LLMs into real applications.
• Goodunderstanding of prompt engineering, structured outputs, and retrieval-based workflows.
• Understanding of core AI/MLand data science concepts, including training data, model evaluation, embeddings, classification, and basic fine-tuning concepts.
• Exposure to model training or training support workflows, including data preparation and evaluation.
• Familiarity with backend integration patterns involving APIs, databases, async processing, and service-to-service communication.
• Ability to debug issues across prompts, model behavior, application logic, and data flow.
• Strong problem-solving skills and ability to work independently on implementation tasks.
• Experience with production use of OpenAI or comparable LLM platforms.
• Familiarity with embeddings, vector search, semantic retrieval, and RAG workflows.
• Experience with agent-style workflows, orchestration patterns, multi-step pipelines, or tool-calling systems.
• Awareness of recentAI ecosystem developments such as MCP, tools/skills patterns, and evolving agent integration approaches.
• Experience with batch jobs, background workers, schedulers, or queue-based processing.
• Familiarity with Docker and containerized deployments.
• Exposure to AWSor similar cloud platforms.
• Understanding ofAI observability, token usage, and cost-aware implementation.
• Experience contributing to technical design and solution planning ",2026,Not Specified,5-10,"Python, APIs, SQL, LLMs, Prompt Engineering, RAG,  MCP, VectorDB, Docker,  AWS/Azure","Communication, Problem Solving"
32,34,AI Engineer,Senior,"- Experience in publishing research or contributing to open source AI initiatives
- Designing AI systems for regulated or enterprise environments
- Understanding of AI governance, responsible AI practices, and compliance frameworks
- Experience mentoring technical teams or leading research initiatives

In addition to your technical skills and qualifications, you are expected to demonstrate baseline proficiency in enterprise-approved AI tools as part of your day-to-day responsibilities. This includes consistent use of AI tools such as GitHub Copilot, Microsoft 365 Copilot, and other GenAI platforms approved by the enterprise, leveraging AI tools to enhance coding, documentation, data analysis, and decision-making workflows, and staying current with evolving AI capabilities and features to improve delivery quality and velocity. 
",2026,Masters,5-10,"Python, GenAI, LLMs","Communication, Problem Solving"
33,35,AI Developer,Junior,"Strong foundation in Java, React, NodeJS, Python, SQL, and Excel Basic understanding of data structures, databases, and algorithms Exposure to pandas, NumPy, PySpark, scikit-learn, GenAI, Agentic AI or TensorFlow is a plus Familiarity with BI tools (e.g., Power BI, Tableau) or cloud platforms (e.g., AWS, GCP) is desirable Knowledge of version control (Git) is an advantage Soft Skills Curiosity and a passion for data-driven problem solving Strong analytical and logical thinking Good communication and collaboration skills Willingness to learn in a fast-paced environment Ability to break down complex problems and document clearly Preferred (Good to Have, Not Mandatory) Internship or academic project in data analytics, machine learning, or database systems Participation in hackathons, coding contests, or Kaggle competitions Exposure to Agile or collaborative tools like JIRA, Confluence ",2026,Bachelors,0-1,"Java, React, NodeJS, Python, SQL, Excel,  Pandas, NumPy, Scikit-Learn, GenAI, TensorFlow/PyTorch, Git, Github, AWS/Azure","Problem Solving, Strong analytical, logical thinking, Communication "
34,36,AI Engineer,Junior,"Bachelor's or Master's degree in Data Science, Statistics, Mathematics, Computer Science, or a related field.
Experience: 0 to 1 yr / 2025 Passouts / upcoming 2026 passouts Preferred Proficiency in Python programming with a strong grasp of core concepts.
Basic Data Structures and Algorithms: Familiarity with common data structures (lists, dictionaries, tuples) and basic algorithms (sorting, searching) is advantageous.
Problem-Solving Skills: Ability to analyse and solve programming problems using Python.
Understanding of Object-Oriented Programming (OOP): Basic understanding of OOP principles like classes, objects, inheritance, and encapsulation
Basic knowledge in Data Science including but not limited to ETL, EDA, Data Processing, Visualization etc.
Familiarity with machine learning and deep learning models (e.g., TensorFlow, Keras, PyTorch).
Experience working with SQL DMBS like PostgreSQL is a plus.
Basic understanding of Natural Language Processing (NLP) concepts
Knowledge of Python frameworks like Django
Familiarity with Jira and Agile methodology will be an added advantage.
Certification or experience in data analysis, data mining, and statistical modelling is an added advantage
Strong knowledge of statistical concepts and techniques.
Knowledge in data visualization tools (Tableau, Power BI, etc.) and SQL.
Excellent problem-solving and analytical skills.
Strong communication and presentation skills.
Certification in Data Science is an added advantage. 
",2026,Bachelors,0-1,"Python, TensorFlow/PyTorch,  SQL, NLP, PowerBI","Communication, Problem Solving"
